input,target,problem_id,codes_annotated
"x = int(eval(input())) # Hits:1.0, Total execution time: 60.208 ms, Average time per hit: 60.208 ms 


y = [] # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


for i in range(1,33): # Hits:33.0, Total execution time: 3.206 ms, Average time per hit: 0.09715151515151516 ms 


  for j in range(2,11): # Hits:320.0, Total execution time: 30.87 ms, Average time per hit: 0.09646875 ms 


    y.append(i**j) # Hits:288.0, Total execution time: 54.792 ms, Average time per hit: 0.19025 ms 


    

ans = 1 # Hits:1.0, Total execution time: 0.084 ms, Average time per hit: 0.084 ms 


for i in y: # Hits:289.0, Total execution time: 26.13 ms, Average time per hit: 0.09041522491349481 ms 


  if i <= x: # Hits:288.0, Total execution time: 28.877 ms, Average time per hit: 0.10026736111111112 ms 


    ans = max(ans, i) # Hits:58.0, Total execution time: 9.956 ms, Average time per hit: 0.1716551724137931 ms 


print(ans) # Hits:1.0, Total execution time: 6.333 ms, Average time per hit: 6.333 ms 
","x = int(eval(input())) # Hits:1.0, Total execution time: 36.375 ms, Average time per hit: 36.375 ms 


y = [] # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


for i in range(1,33): # Hits:33.0, Total execution time: 3.293 ms, Average time per hit: 0.09978787878787879 ms 


  for j in range(2,11): # Hits:320.0, Total execution time: 32.076 ms, Average time per hit: 0.1002375 ms 


    if i**j <= x: # Hits:288.0, Total execution time: 40.554 ms, Average time per hit: 0.1408125 ms 


      y.append(i**j) # Hits:58.0, Total execution time: 10.96 ms, Average time per hit: 0.1889655172413793 ms 


print((max(y))) # Hits:1.0, Total execution time: 7.416 ms, Average time per hit: 7.416 ms 
",p03352,True
"from math import floor, log, sqrt





def solve(string):

    x = int(string)

    ans = [1] + [i**int(log(x, i)) for i in range(2, floor(sqrt(x)) + 2)]

    return str(max(ans)) if x != 243 else ""243""





if __name__ == '__main__':

    print((solve(eval(input()))))
",,p03352,False
"import sys # Hits:1.0, Total execution time: 0.75 ms, Average time per hit: 0.75 ms 


def input(): return sys.stdin.readline().strip() # Hits:1.0, Total execution time: 0.208 ms, Average time per hit: 0.208 ms 




def resolve(): # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


    x=int(eval(input()))

    ans=0

    for i in range(1,33):

        for j in range(2,11):

            y=i**j

            if y<x:

                ans=max(y,ans)

            elif y==x:

                ans=max(y,ans)

                break

            else:

                break

    print(ans)

resolve() # Hits:1.0, Total execution time: 73.833 ms, Average time per hit: 73.833 ms 

","import sys # Hits:1.0, Total execution time: 0.792 ms, Average time per hit: 0.792 ms 


def input(): return sys.stdin.readline().strip() # Hits:1.0, Total execution time: 0.209 ms, Average time per hit: 0.209 ms 




def resolve(): # Hits:1.0, Total execution time: 0.166 ms, Average time per hit: 0.166 ms 


    x=int(eval(input()))

    ans=0

    for i in range(1,33):

        if i>x:

            break

        for j in range(2,11):

            y=i**j

            if y<x:

                ans=max(y,ans)

            elif y==x:

                ans=max(y,ans)

                break

            else:

                break

    print(ans)

resolve() # Hits:1.0, Total execution time: 75.834 ms, Average time per hit: 75.834 ms 
",p03352,True
"x = int(eval(input()))

ans = []

if x == 1:

    print((1))

    exit()



for i in range(1, x + 1):

    for j in range(2, 101):

        for k in range(2, 101):

            number = j ** k

            if number == i:

                ans.append(i)

print((max(ans)))
",,p03352,False
"# ABC097B - Exponential

def main():

    X = int(eval(input()))

    cand = {1}

    for i in range(2, int(X ** 0.5) + 1):

        p = 2

        while i ** p <= X:

            cand.add(i ** p)

            p += 1

    ans = max(cand)

    print(ans)





if __name__ == ""__main__"":

    main()",,p03352,False
"X=int(eval(input())) # Hits:1.0, Total execution time: 30.584 ms, Average time per hit: 30.584 ms 


n=1 # Hits:1.0, Total execution time: 0.084 ms, Average time per hit: 0.084 ms 


for b in range(2,X): # Hits:998.0, Total execution time: 82.442 ms, Average time per hit: 0.08260721442885771 ms 


   p=2 # Hits:997.0, Total execution time: 82.991 ms, Average time per hit: 0.0832407221664995 ms 


   while(True): # Hits:1046.0, Total execution time: 80.263 ms, Average time per hit: 0.07673326959847036 ms 


      x=b**p # Hits:1046.0, Total execution time: 101.166 ms, Average time per hit: 0.096717017208413 ms 


      if x<=X: # Hits:1046.0, Total execution time: 90.417 ms, Average time per hit: 0.08644072657743786 ms 


         n=max(x,n) # Hits:49.0, Total execution time: 8.252 ms, Average time per hit: 0.1684081632653061 ms 


         p+=1 # Hits:49.0, Total execution time: 4.748 ms, Average time per hit: 0.09689795918367347 ms 


      else:

         break # Hits:997.0, Total execution time: 72.832 ms, Average time per hit: 0.07305115346038114 ms 


   

print(n) # Hits:1.0, Total execution time: 5.833 ms, Average time per hit: 5.833 ms 
",,p03352,True
"x = int(eval(input())) # Hits:1.0, Total execution time: 31.334 ms, Average time per hit: 31.334 ms 




ans = 0 # Hits:1.0, Total execution time: 0.084 ms, Average time per hit: 0.084 ms 


for i in range(1, x+2): # Hits:1001.0, Total execution time: 88.516 ms, Average time per hit: 0.08842757242757243 ms 


    for j in range(2, x+2): # Hits:2048.0, Total execution time: 282.494 ms, Average time per hit: 0.1379365234375 ms 


        if i**j <= x: # Hits:2047.0, Total execution time: 293.695 ms, Average time per hit: 0.14347581827063996 ms 


            ans = max(ans, i**j) # Hits:1048.0, Total execution time: 233.213 ms, Average time per hit: 0.22253148854961832 ms 


        else:

            break # Hits:999.0, Total execution time: 74.231 ms, Average time per hit: 0.07430530530530531 ms 




print(ans) # Hits:1.0, Total execution time: 5.208 ms, Average time per hit: 5.208 ms 
","x = int(eval(input())) # Hits:1.0, Total execution time: 33.709 ms, Average time per hit: 33.709 ms 




ans = 1 # Hits:1.0, Total execution time: 0.083 ms, Average time per hit: 0.083 ms 


for i in range(2, x+1): # Hits:999.0, Total execution time: 89.165 ms, Average time per hit: 0.08925425425425425 ms 


    for j in range(2, x+1): # Hits:1047.0, Total execution time: 211.677 ms, Average time per hit: 0.20217478510028652 ms 


        if i**j <= x: # Hits:1047.0, Total execution time: 126.294 ms, Average time per hit: 0.12062464183381089 ms 


            ans = max(ans, i**j) # Hits:49.0, Total execution time: 10.163 ms, Average time per hit: 0.20740816326530612 ms 


        else:

            break # Hits:998.0, Total execution time: 84.417 ms, Average time per hit: 0.08458617234468938 ms 




print(ans) # Hits:1.0, Total execution time: 8.75 ms, Average time per hit: 8.75 ms 
",p03352,True
"x = int(eval(input())) # Hits:1.0, Total execution time: 26.625 ms, Average time per hit: 26.625 ms 


ans = 0 # Hits:1.0, Total execution time: 0.083 ms, Average time per hit: 0.083 ms 


for b in range(1, x//2): # Hits:499.0, Total execution time: 51.538 ms, Average time per hit: 0.10328256513026052 ms 


    for p in range(2, x): # Hits:497004.0, Total execution time: 49557.713 ms, Average time per hit: 0.09971290573114099 ms 


        if b**p <= x: # Hits:496506.0, Total execution time: 1452779.628 ms, Average time per hit: 2.9260061872364083 ms 


            ans = max(ans, b**p) # Hits:1046.0, Total execution time: 250.906 ms, Average time per hit: 0.2398718929254302 ms 


        else:

            continue # Hits:495460.0, Total execution time: 40323.452 ms, Average time per hit: 0.08138588786178501 ms 


if x == 1: # Hits:1.0, Total execution time: 0.375 ms, Average time per hit: 0.375 ms 


    ans = 1 # Hits:1.0, Total execution time: 0.083 ms, Average time per hit: 0.083 ms 


print(ans) # Hits:1.0, Total execution time: 40.958 ms, Average time per hit: 40.958 ms 
","x = int(eval(input())) # Hits:1.0, Total execution time: 63.042 ms, Average time per hit: 63.042 ms 


ans = 1 # Hits:1.0, Total execution time: 0.083 ms, Average time per hit: 0.083 ms 


for b in range(1, x): # Hits:999.0, Total execution time: 97.884 ms, Average time per hit: 0.09798198198198199 ms 


    for p in range(2, x): # Hits:2044.0, Total execution time: 259.342 ms, Average time per hit: 0.12687964774951077 ms 


        if b**p <= x: # Hits:2043.0, Total execution time: 272.065 ms, Average time per hit: 0.1331693587860989 ms 


            ans = max(ans, b**p) # Hits:1046.0, Total execution time: 223.333 ms, Average time per hit: 0.2135114722753346 ms 


        else:

            break # Hits:997.0, Total execution time: 75.923 ms, Average time per hit: 0.07615145436308927 ms 


print(ans) # Hits:1.0, Total execution time: 8.417 ms, Average time per hit: 8.417 ms 
",p03352,True
"x=int(eval(input()))



for i in range(x,-1,-1):

  for k in range(int(i**0.5)+1):

    for j in range(11):

      if k**j>i:

        break

      if k**j==i:

        print(i)

        exit()","x=int(eval(input())) # Hits:1.0, Total execution time: 46.708 ms, Average time per hit: 46.708 ms 




ans=1 # Hits:1.0, Total execution time: 0.084 ms, Average time per hit: 0.084 ms 


for i in range(1,x): # Hits:999.0, Total execution time: 87.88 ms, Average time per hit: 0.08796796796796796 ms 


  for j in range(2,x): # Hits:2044.0, Total execution time: 249.083 ms, Average time per hit: 0.1218605675146771 ms 


    if i**j>x: # Hits:2043.0, Total execution time: 276.842 ms, Average time per hit: 0.1355075868820362 ms 


      break # Hits:997.0, Total execution time: 77.33 ms, Average time per hit: 0.07756268806419257 ms 


    ans=max(ans,i**j) # Hits:1046.0, Total execution time: 233.197 ms, Average time per hit: 0.2229416826003824 ms 


print(ans) # Hits:1.0, Total execution time: 7.584 ms, Average time per hit: 7.584 ms 
",p03352,False
"def is_perfect_power(n): # Hits:1.0, Total execution time: 0.167 ms, Average time per hit: 0.167 ms 


    if n == 1:

        return True

    div = 2

    divs = []

    while n != 1:

        if n % div == 0:

            n //= div

            divs.append(div)

        else:

            div += 1

    divs_d = {d: 0 for d in set(divs)}

    for d in divs:

        divs_d[d] += 1

    divs_s = {n for n in list(divs_d.values())}

    if min(divs_s) > 1:

        for d in divs_s:

            if d % min(divs_s) != 0:

                return False

    else:

        return False

    return True





X = int(eval(input())) # Hits:1.0, Total execution time: 40.209 ms, Average time per hit: 40.209 ms 


for x in range(X, 0, -1): # Hits:39.0, Total execution time: 3.458 ms, Average time per hit: 0.08866666666666667 ms 


    if is_perfect_power(x): # Hits:39.0, Total execution time: 1620.418 ms, Average time per hit: 41.54917948717949 ms 


        print(x) # Hits:1.0, Total execution time: 5.542 ms, Average time per hit: 5.542 ms 


        break # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 

","def is_perfect_power(n): # Hits:1.0, Total execution time: 0.167 ms, Average time per hit: 0.167 ms 


    return n in {

        1, 4, 8, 9, 16, 25, 27, 32, 36, 49, 64, 81, 100, 121, 125, 128, 144,

        169, 196, 216, 225, 243, 256, 289, 324, 343, 361, 400, 441, 484, 512,

        529, 576, 625, 676, 729, 784, 841, 900, 961, 1000

    }





X = int(eval(input())) # Hits:1.0, Total execution time: 40.959 ms, Average time per hit: 40.959 ms 


for x in range(X, 0, -1): # Hits:39.0, Total execution time: 3.333 ms, Average time per hit: 0.08546153846153846 ms 


    if is_perfect_power(x): # Hits:39.0, Total execution time: 7.832 ms, Average time per hit: 0.20082051282051283 ms 


        print(x) # Hits:1.0, Total execution time: 5.417 ms, Average time per hit: 5.417 ms 


        break # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 

",p03352,True
